State,2022_homelesess,2021_homelesess,2020_homelesess,2019_homelesess,2018_homelesess,2017_homelesess,2016_homelesess,2015_homelesess,2014_homelesess,2013_homelesess,2012_homelesess,2012_rental,2013_rental,2014_rental,2015_rental,2016_rental,2017_rental,2018_rental,2019_rental,2020_rental,2021_rental,2022_rental
NJ,8752,8262,9662,8862,9398,8536,8895.0,10098.0,11671.0,12002.0,13025.0,2066.0,1977.0,2058.0,2156.0,2363.0,2372.0,2455.0,2516.0,2483.0,2920.0,3019.0
NM,2560,2747,3333,3241,2551,2482,2263.0,2629.0,2746.0,2819.0,3245.0,980.0,1009.0,1047.0,1084.0,895.0,896.0,927.0,950.0,938.0,1103.0,1141.0
NV,7618,7090,6900,7169,7544,7833,7398.0,8743.0,8582.0,7039.0,8497.0,1165.0,1197.0,1255.0,1293.0,1432.0,1425.0,1475.0,1512.0,1492.0,1755.0,1815.0
NY,74178,78920,91271,92091,91897,89503,86352.0,88250.0,80590.0,77430.0,69566.0,1545.0,1593.0,1593.0,1491.0,1539.0,1522.0,1575.0,1614.0,1593.0,1873.0,1937.0
OH,10654,7915,10655,10345,10249,10095,10404.0,11182.0,11823.0,12325.0,13977.0,1077.0,1129.0,1146.0,1189.0,1184.0,1183.0,1224.0,1255.0,1239.0,1457.0,1507.0
OK,3754,2694,3932,3944,3871,4199,4107.0,3777.0,4191.0,4408.0,5032.0,904.0,938.0,968.0,965.0,970.0,965.0,999.0,1024.0,1011.0,1189.0,1229.0
OR,17959,9048,14655,15876,14476,13953,13238.0,13226.0,12164.0,13822.0,15828.0,1332.0,1454.0,1529.0,1654.0,1779.0,1768.0,1830.0,1876.0,1852.0,2178.0,2252.0
PA,12691,10339,13375,13199,13512,14138,15339.0,15421.0,15333.0,15086.0,14736.0,1333.0,1331.0,1358.0,1399.0,1381.0,1385.0,1433.0,1469.0,1450.0,1705.0,1763.0
RI,1577,1267,1104,1055,1101,1180,1160.0,1111.0,1190.0,1384.0,1277.0,1566.0,1620.0,1643.0,1844.0,1853.0,1842.0,1906.0,1954.0,1929.0,2269.0,2346.0
SC,3608,3207,4287,4172,3933,3916,5051.0,5354.0,5057.0,6544.0,4915.0,1088.0,1048.0,1152.0,1172.0,1126.0,1113.0,1152.0,1181.0,1166.0,1371.0,1418.0
SD,1389,817,1058,995,1159,943,1072.0,1036.0,885.0,1094.0,859.0,1049.0,1043.0,1170.0,1229.0,1220.0,1244.0,1288.0,1320.0,1303.0,1532.0,1584.0
TN,10567,6823,7256,7467,7883,8309,8779.0,9123.0,9415.0,9528.0,9426.0,1167.0,1265.0,1341.0,1468.0,1535.0,1535.0,1589.0,1629.0,1608.0,1891.0,1955.0
TX,24432,17295,27229,25848,25310,23548,23122.0,23678.0,28495.0,29615.0,34052.0,1435.0,1507.0,1634.0,1651.0,1670.0,1663.0,1721.0,1764.0,1741.0,2047.0,2117.0
UT,3557,3565,3131,2798,2876,2852,2807.0,3025.0,3081.0,3277.0,3527.0,1275.0,1411.0,1375.0,1446.0,1524.0,1506.0,1559.0,1598.0,1577.0,1855.0,1918.0
VA,6529,5812,5957,5783,5975,6067,6268.0,7001.0,7020.0,7625.0,8424.0,1495.0,1498.0,1535.0,1544.0,1536.0,1536.0,1590.0,1630.0,1609.0,1892.0,1956.0
VT,2780,2591,1110,1089,1291,1225,1117.0,1523.0,1559.0,1454.0,1160.0,1315.0,1428.0,1390.0,1447.0,1494.0,1495.0,1547.0,1586.0,1565.0,1840.0,1903.0
WA,25211,11511,22923,21577,22304,21112,20827.0,19419.0,18442.0,17760.0,20504.0,1516.0,1598.0,1679.0,1748.0,1882.0,1884.0,1950.0,1999.0,1973.0,2320.0,2399.0
WI,4775,4237,4515,4538,4907,5027,5685.0,6057.0,6055.0,6104.0,6027.0,1374.0,1371.0,1373.0,1460.0,1475.0,1483.0,1535.0,1573.0,1553.0,1826.0,1888.0
WV,1375,1138,1341,1397,1243,1309,1387.0,1835.0,2013.0,2240.0,2410.0,1005.0,951.0,970.0,1010.0,1008.0,1012.0,1047.0,1073.0,1059.0,1245.0,1287.0
